delta,ram
0,0.0015275955200195757
0.00018333299885853194,0.0020082473754883257
0.0003393340011825785,0.0020082473754883257
0.00043665400153258815,0.0020082473754883257
0.0005245290012680925,0.0020082473754883257
0.0006198759983817581,0.0020082473754883257
0.000713754998287186,0.0020082473754883257
0,0
-1,-1
